# node A = ghcr.io/bsv-blockchain/teranode:latest (upstream main, RPC version 1.3.0), regtest, run 20260917-054807-freeze-skew-rpc-2
# A froze c6663f74…:0 over RPC at 05:48:3x; B (unaware) mined block 107 = 576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe spending it at 05:48:41.
# --- first validation attempt (rejected, no BLOCK_INVALID verdict published) ---
2026-09-17T05:51:31Z | WARN  | blockvalidation/Server.go:2387   | bval  | [catchup] Alternative peer 12D3KooWGkXuySDRhqbRmJZvNX3UpigKtRSqTkEhu2d76o9BbP9a also failed for block 6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e: ERROR (9): rpc err
2026-09-17T05:51:47Z | INFO  | blockvalidation/catchup.go:178   | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] starting catchup to http://10.190.0.13:8090/api/v1
2026-09-17T05:51:47Z | INFO  | catchup_get_block_headers.go:365 | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] iteration 1: received 3 headers from peer
2026-09-17T05:51:47Z | INFO  | BlockValidation.go:1607          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validating block from http://10.190.0.13:8090/api/v1
2026-09-17T05:51:47Z | INFO  | BlockValidation.go:1622          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validating block from http://10.190.0.13:8090/api/v1 DONE in 16.651873ms
2026-09-17T05:51:47Z | INFO  | blockvalidation/catchup.go:376   | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] starting catchup to http://10.190.0.13:8090/api/v1 DONE in 41.599286ms
2026-09-17T05:51:47Z | INFO  | blockvalidation/catchup.go:178   | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] starting catchup to http://10.190.0.12:8090/api/v1
2026-09-17T05:51:47Z | INFO  | catchup_get_block_headers.go:365 | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] iteration 1: received 3 headers from peer
2026-09-17T05:51:47Z | INFO  | BlockValidation.go:1607          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validating block from http://10.190.0.12:8090/api/v1
2026-09-17T05:51:47Z | INFO  | BlockValidation.go:1622          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validating block from http://10.190.0.12:8090/api/v1 DONE in 49.718µs
2026-09-17T05:51:47Z | INFO  | blockvalidation/catchup.go:376   | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] starting catchup to http://10.190.0.12:8090/api/v1 DONE in 22.078202ms
2026-09-17T05:51:47Z | WARN  | peer_selection.go:134            | bval  | [catchup] Peer 12D3KooWGkXuySDRhqbRmJZvNX3UpigKtRSqTkEhu2d76o9BbP9a failed for block 6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e: ERROR (9): rpc error: code = Unknow
2026-09-17T05:52:07Z | INFO  | blockvalidation/catchup.go:178   | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] starting catchup to http://10.190.0.12:8090/api/v1
2026-09-17T05:52:07Z | INFO  | catchup_get_block_headers.go:365 | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] iteration 1: received 3 headers from peer
2026-09-17T05:52:07Z | INFO  | BlockValidation.go:1607          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validating block from http://10.190.0.12:8090/api/v1
2026-09-17T05:52:07Z | INFO  | BlockValidation.go:1622          | bval  | [ValidateBlock][576e73d4111cba0208cf1f6532313b3884bf33178be3e4471401fe8e201544fe] validating block from http://10.190.0.12:8090/api/v1 DONE in 19.588995ms
2026-09-17T05:52:07Z | INFO  | blockvalidation/catchup.go:376   | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] starting catchup to http://10.190.0.12:8090/api/v1 DONE in 59.40613ms
2026-09-17T05:52:07Z | INFO  | blockvalidation/catchup.go:178   | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] starting catchup to http://10.190.0.13:8090/api/v1
2026-09-17T05:52:07Z | INFO  | catchup_get_block_headers.go:365 | bval  | [catchup][6051ead71d3fc2cd7854adb004e8e1045e8c23b300c14dfb71e55a002ab2169e] iteration 1: received 3 headers from peer
